ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,FacilityName,ActivityType,ManagedBy,Ward,Address,Postcode
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Caxton Road,Playground,Parks and Countryside,Otley & Yeadon,"Caxton Road, Otley",LS21
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Chandos Gardens,Playground,Parks and Countryside,Roundhay,"Chandos Gardens, Gledhow",LS8
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Chapel Allerton,Playground,Parks and Countryside,Chapel Allerton,Back North Brook Street,LS7
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Chapel Allerton Park,Bowling Green,Parks and Countryside,Chapel Allerton,Pasture Lane,LS7
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Chatsworth Recreation Ground,Playground,Parks and Countryside,Calverley & Farsley,"Chatsworth Road, Leeds",LS28
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Church Lane Sports Fields,Senior,Parks and Countryside,,,LS26 9EE
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Church Lane Sports Fields,Mini (5v5),Parks and Countryside,,,LS26 9EE
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Church Lane Sports Fields,Mini (7v7),Parks and Countryside,,,LS26 9EE
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Church Lane Sports Fields,Mini (7v7),Parks and Countryside,,,LS26 9EE
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Church Lane Sports Fields,Junior (9v9),Parks and Countryside,,,LS26 9EE
